keyword,score
climate,0.05819485577446677
climatecrisis,0.04755120418354564
cop28,0.03608270339749251
climatechange,0.02399534290044112
www,0.022361157540177513
news,0.021511490575975584
com,0.02124898138321179
insight,0.015817968878075832
naturally,0.015567228396307123
broadcast,0.015558573674343809
rarely,0.0155078709944048
fossil,0.015081303452556009
constantly,0.015007208122402875
climatesky,0.014544056548039587
change,0.014358170724696506
media,0.013338681669117577
hear,0.013053113259440838
greensky,0.012067165609495735
global,0.011652803475761937
2023,0.011419912465492597
oil,0.010062057520994285
environment,0.009934621151325854
org,0.009922514092219593
emissions,0.00987325979860463
theguardian,0.009169471010355828
fuels,0.008755990037759377
world,0.008273948634539011
science,0.007986482819886424
gas,0.007886665896619379
globalwarming,0.007797409933717292
climateaction,0.007691638177535236
biodiversity,0.0075804749439769
carbon,0.007448155826653629
fuel,0.007438028129987285
2024,0.007086849286095238
sustainability,0.00708549737651201
energy,0.006837788485796681
climateemergency,0.006320992115966407
uk,0.006308755881199116
conference,0.005766498017714075
climatebrawl,0.005554248439906427
new,0.005515054672857092
fossilfuels,0.0054668463926945375
planet,0.005422796882484079
scientists,0.005384392583638006
record,0.005229456686993775
crisis,0.005101581059061269
canada,0.005031395594604091
nature,0.004975047134635881
future,0.0049020600141301785
australia,0.004755507274669005
countries,0.004648220257688483
eu,0.004642681143425143
action,0.004610483492474384
ourfragilemoment,0.004609420220779552
earth,0.004555628898202639
article,0.004521314868821829
auspol,0.004461877503684185
energysky,0.004443718875131849
report,0.00422894539649951
methane,0.004200651618643846
greenwashing,0.004155220374225837
data,0.004146991809716188
endfossilfuels,0.004079300982633125
decades,0.004003290811031511
says,0.00392395748731806
12,0.0038693201327120712
ocean,0.00379117814826322
water,0.003790815682414186
warming,0.003763264181123652
caused,0.0037363823113520265
pollution,0.003715042497371927
industry,0.0036683035023312117
ecosearch,0.003667566121108663
heat,0.003658024985257546
weather,0.003635933663115692
understand,0.0035054163528363087
renewables,0.0034289575857582868
netzero,0.003359199330255722
summit,0.00334005745104531
environmental,0.003308465018991049
study,0.0033067807935861877
10,0.0032554560599461985
denial,0.00325109147895088
ca,0.003196339132035339
upward,0.0031140361844697287
cop,0.003110571054223201
solar,0.003074819834987734
extreme,0.003052965379016713
dubai,0.003032754547935958
predicted,0.002990125319306505
research,0.002988758342482658
analysis,0.002978259009845611
justice,0.0029727801656257396
temperature,0.002946446898328277
2050,0.002944937549321748
uae,0.0028768972547350458
11,0.0028494411728521647
02,0.00282112352985801
drought,0.002808144419309665
